Jun 23, 7:30 am CLASS: LOGIN (MYSQL ERROR ON LINE 155)'Unknown column 'lang' in 'where clause''
Jun 24, 8:02 am CLASS: LOGIN (MYSQL ERROR ON LINE 155)'Unknown column 'lang' in 'where clause''
Jun 24, 10:33 am CLASS: API (MYSQL ERROR ON LINE 75)'Unknown column 'city_name' in 'field list''
Jun 30, 10:15 am CLASS: API (MYSQL ERROR ON LINE 136)''
Jun 30, 10:15 am CLASS: API (MYSQL ERROR ON LINE 136)''
Jun 30, 10:15 am CLASS: API (MYSQL ERROR ON LINE 136)''
Jun 30, 10:15 am CLASS: API (MYSQL ERROR ON LINE 136)''
Jul 2, 6:54 am CLASS: API (MYSQL ERROR ON LINE 62)'Unknown column 'd_active' in 'where clause''
Jul 2, 6:54 am CLASS: API (MYSQL ERROR ON LINE 62)'Unknown column 'd_active' in 'where clause''
Jul 2, 6:56 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 6:57 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 6:57 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 6:58 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 6:58 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 6:58 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 6:58 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 6:59 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:02 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:02 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:02 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:02 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:02 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:02 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:03 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:04 am CLASS: API (MYSQL ERROR ON LINE 62)''
Jul 2, 7:04 am CLASS: API (MYSQL ERROR ON LINE 62)''
